,Euclidean error in meters,Depth error in meters,Azimuthal error in radians,Sagittal error in radians,Azimutal error in degrees: ,Sagittal error in degrees: ,Front-back confusion in boolean: ,Up-down confusion in boolean: ,Left-right confusion in boolean: 
0,0.43,0.23,0.12,0.26,7.0,15.0,False,False,False
1,0.21,0.15,0.15,0.01,9.0,1.0,False,False,False
2,0.47,0.28,0.49,0.05,28.0,3.0,False,False,False
3,0.59,0.51,0.02,0.15,1.0,9.0,False,False,False
4,0.67,0.19,0.49,0.31,28.0,18.0,False,False,False
5,1.8,0.18,1.6,0.39,92.0,22.0,False,False,False
6,1.05,0.66,0.4,0.39,23.0,22.0,False,False,False
7,1.01,0.36,1.88,0.02,108.0,1.0,False,False,False
8,1.79,0.49,0.2,0.07,11.0,4.0,False,False,False
9,3.11,1.37,2.48,0.61,142.0,35.0,False,False,False
10,1.67,0.0,1.76,0.16,101.0,9.0,False,False,False
11,0.88,0.71,0.35,0.15,20.0,9.0,False,False,False
12,1.24,0.24,2.33,0.02,133.0,1.0,False,False,False
13,1.61,0.09,1.24,0.83,71.0,48.0,False,False,False
14,1.46,0.63,0.62,0.78,36.0,45.0,False,False,False
15,0.36,0.26,0.32,0.07,18.0,4.0,False,False,False
16,0.92,0.11,2.35,0.72,135.0,41.0,False,False,False
17,0.23,0.15,0.09,0.12,5.0,7.0,False,False,False
18,0.44,0.35,0.26,0.14,15.0,8.0,False,False,False
19,0.61,0.09,0.0,0.44,0.0,25.0,False,False,False
20,0.92,0.24,0.34,0.44,19.0,25.0,False,False,False
21,0.86,0.03,1.35,0.07,77.0,4.0,False,False,False
22,0.86,0.16,3.08,0.63,176.0,36.0,False,False,True
23,0.8,0.05,0.93,0.2,53.0,11.0,False,False,False
24,0.89,0.42,1.12,0.29,64.0,17.0,False,False,False
25,0.58,0.07,0.05,0.48,3.0,28.0,False,False,False
26,1.37,0.05,2.45,0.52,140.0,30.0,False,False,False
27,0.53,0.01,2.9,0.42,166.0,24.0,False,False,True
28,1.15,0.51,0.69,0.18,40.0,10.0,False,False,False
29,2.02,0.41,2.64,0.52,151.0,30.0,False,False,False
30,0.48,0.05,0.39,0.09,22.0,5.0,False,False,False
31,0.21,0.17,0.14,0.07,8.0,4.0,False,False,False
32,0.27,0.21,0.12,0.01,7.0,1.0,False,False,False
33,0.29,0.18,0.02,0.21,1.0,12.0,False,False,False
34,0.1,0.09,0.09,0.01,5.0,1.0,False,False,False
35,1.42,0.56,0.52,0.66,30.0,38.0,False,False,False
36,0.39,0.23,0.1,0.24,6.0,14.0,False,False,False
