SampleId,Euclidean Error in meters,Azimuthal Error in degrees,Sagittal Error in degrees,Depth Error in meters,,Mean Euclidean Error in meters,Mean Azimuthal Error in degrees,Mean Sagittal Error in degrees,Mean Depth Error in meters,Number of samples
0,0.43,7,15,0.23,,0.3967272727,19.72727273,8.690909091,0.1658181818,55
1,0.21,9,1,0.15,,,,,,
2,0.47,28,3,0.28,,,,,,
3,0.59,1,9,0.51,,,,,,
4,0.67,28,18,0.19,,,,,,
15,0.36,18,4,0.26,,,,,,
16,0.92,135,41,0.11,,,,,,
17,0.23,5,7,0.15,,,,,,
18,0.44,15,8,0.35,,,,,,
19,0.61,0,25,0.09,,,,,,
30,0.48,22,5,0.05,,,,,,
31,0.21,8,4,0.17,,,,,,
32,0.27,7,1,0.21,,,,,,
33,0.29,1,12,0.18,,,,,,
34,0.1,5,1,0.09,,,,,,
55,0.29,3,6,0.25,,,,,,
56,0.21,2,4,0.13,,,,,,
57,0.4,7,4,0.35,,,,,,
58,0.24,23,10,0.05,,,,,,
59,0.22,4,6,0.03,,,,,,
80,0.33,5,16,0.01,,,,,,
81,0.34,7,11,0.03,,,,,,
82,0.51,176,5,0.48,,,,,,
83,0.82,1,41,0.18,,,,,,
84,0.25,5,6,0.13,,,,,,
95,0.25,3,9,0.15,,,,,,
96,0.26,7,4,0.15,,,,,,
97,0.62,3,23,0.17,,,,,,
98,0.23,39,3,0.04,,,,,,
99,0.21,5,9,0.01,,,,,,
110,0.33,14,7,0.05,,,,,,
111,0.35,19,3,0.19,,,,,,
112,3.01,145,27,0.42,,,,,,
113,0.19,4,4,0.07,,,,,,
114,0.61,18,25,0.16,,,,,,
125,0.13,4,0,0.1,,,,,,
126,0.24,10,3,0.2,,,,,,
127,0.07,1,2,0.03,,,,,,
128,0.56,16,9,0.4,,,,,,
129,0.28,9,2,0.24,,,,,,
150,0.23,8,9,0.06,,,,,,
151,0.3,3,14,0.06,,,,,,
152,0.13,1,5,0.06,,,,,,
153,0.14,6,1,0.12,,,,,,
154,0.12,5,1,0.1,,,,,,
165,0.1,4,2,0.04,,,,,,
166,0.32,17,9,0.2,,,,,,
167,0.33,6,7,0.03,,,,,,
168,0.23,9,2,0.04,,,,,,
169,0.1,6,2,0.07,,,,,,
180,0.27,6,7,0.03,,,,,,
181,1.28,11,19,0.41,,,,,,
182,0.28,2,2,0.27,,,,,,
183,0.24,170,3,0.1,,,,,,
184,0.52,12,2,0.49,,,,,,
