SampleId,Euclidean Error in meters,Azimuthal Error in degrees,Sagittal Error in degrees,Depth Error in meters,,Mean Euclidean Error in meters,Mean Azimuthal Error in degrees,Mean Sagittal Error in degrees,Mean Depth Error in meters,Number of samples
7,1.01,108,1,0.36,,1.1325,71.22916667,17.14583333,0.4708333333,48
8,1.79,11,4,0.49,,,,,,
9,3.11,142,35,1.37,,,,,,
10,1.67,101,9,0,,,,,,
11,0.88,20,9,0.71,,,,,,
14,1.46,36,45,0.63,,,,,,
22,0.86,176,36,0.16,,,,,,
24,0.89,64,17,0.42,,,,,,
25,0.58,3,28,0.07,,,,,,
26,1.37,140,30,0.05,,,,,,
27,0.53,166,24,0.01,,,,,,
40,0.77,27,7,0.65,,,,,,
42,0.69,23,11,0.6,,,,,,
44,2.13,92,13,1.26,,,,,,
62,0.96,40,38,0.34,,,,,,
69,1.46,35,11,1.35,,,,,,
85,0.89,22,4,0.19,,,,,,
87,0.48,45,3,0.06,,,,,,
90,1.1,127,10,0.09,,,,,,
93,1.3,1,24,1.24,,,,,,
94,0.89,166,27,0.61,,,,,,
101,0.4,29,7,0.3,,,,,,
103,0.97,105,1,0.08,,,,,,
104,1,73,13,0.06,,,,,,
105,0.8,64,2,0.16,,,,,,
108,1.36,158,19,0.02,,,,,,
115,1.69,73,3,1.19,,,,,,
117,0.59,14,5,0.56,,,,,,
118,0.84,126,7,0.18,,,,,,
123,0.47,48,7,0.22,,,,,,
130,0.74,109,13,0.5,,,,,,
133,1.66,2,50,0.98,,,,,,
134,0.84,8,41,0.05,,,,,,
135,0.5,32,14,0.1,,,,,,
156,1.61,61,12,0.7,,,,,,
157,2.54,140,5,0.93,,,,,,
158,0.18,11,0,0.06,,,,,,
159,1.39,42,35,0.5,,,,,,
160,1.75,89,14,0.9,,,,,,
163,0.6,105,10,0.05,,,,,,
164,2.07,136,1,1.14,,,,,,
171,0.3,6,4,0.28,,,,,,
175,0.97,3,7,0.92,,,,,,
186,1.26,147,40,0.15,,,,,,
188,1.01,64,11,0.64,,,,,,
191,0.97,49,46,0.02,,,,,,
192,2.04,158,60,0.35,,,,,,
193,0.99,22,10,0.9,,,,,,
