SampleId,Euclidean Error in meters,Azimuthal Error in degrees,Sagittal Error in degrees,Depth Error in meters,,Mean Euclidean Error in meters,Mean Azimuthal Error in degrees,Mean Sagittal Error in degrees,Mean Depth Error in meters,Number of samples
5,1.8,92,22,0.18,,1.123064516,49.66129032,21.64516129,0.3988709677,62
6,1.05,23,22,0.66,,,,,,
12,1.24,133,1,0.24,,,,,,
13,1.61,71,48,0.09,,,,,,
20,0.92,19,25,0.24,,,,,,
21,0.86,77,4,0.03,,,,,,
23,0.8,53,11,0.05,,,,,,
28,1.15,40,10,0.51,,,,,,
29,2.02,151,30,0.41,,,,,,
35,1.42,30,38,0.56,,,,,,
36,0.39,6,14,0.23,,,,,,
37,1.46,3,3,0.43,,,,,,
38,0.49,8,21,0.18,,,,,,
39,2.71,2,5,0.53,,,,,,
41,0.14,5,2,0.13,,,,,,
43,1.22,17,40,0.42,,,,,,
60,1.65,125,30,0.26,,,,,,
61,1.16,77,14,0.74,,,,,,
63,1.3,17,41,0.71,,,,,,
64,1.01,5,9,0.95,,,,,,
65,1.19,11,51,0.28,,,,,,
66,0.59,5,5,0.19,,,,,,
67,1.25,29,6,1.14,,,,,,
68,1.06,2,26,0.79,,,,,,
86,0.66,45,12,0.26,,,,,,
88,2.28,166,1,0.01,,,,,,
89,0.93,25,10,0.24,,,,,,
91,1.17,30,31,0.27,,,,,,
92,0.91,55,28,0.35,,,,,,
100,1.14,15,6,1.09,,,,,,
102,0.67,72,6,0.05,,,,,,
106,1.54,52,32,0.56,,,,,,
107,0.96,17,24,0.61,,,,,,
109,1.57,171,37,0.02,,,,,,
116,1.14,4,26,0.8,,,,,,
119,1.22,83,38,0.14,,,,,,
120,0.59,68,15,0.05,,,,,,
121,1.13,88,39,0,,,,,,
122,0.2,20,5,0.09,,,,,,
124,0.19,0,9,0.08,,,,,,
131,1.81,42,34,1.43,,,,,,
132,1.46,4,43,0.72,,,,,,
136,1.26,59,49,0.13,,,,,,
137,1.4,48,29,0.91,,,,,,
138,1.15,1,53,0.27,,,,,,
139,1.33,37,49,0.15,,,,,,
155,1.07,107,15,0.85,,,,,,
161,0.58,44,1,0.22,,,,,,
162,1.48,46,31,0.39,,,,,,
170,1.75,1,15,1.26,,,,,,
172,0.98,25,34,0.48,,,,,,
173,0.57,13,5,0.53,,,,,,
174,0.53,177,2,0.53,,,,,,
176,2.11,89,43,0.34,,,,,,
177,0.37,21,3,0.04,,,,,,
178,1.6,128,28,0.34,,,,,,
179,0.5,30,5,0.19,,,,,,
185,0.94,74,29,0.19,,,,,,
187,0.37,37,11,0.03,,,,,,
189,1.49,92,23,0.37,,,,,,
190,1.13,77,22,0.16,,,,,,
194,0.96,15,21,0.63,,,,,,
