SampleId,Euclidean Error in meters,Azimuthal Error in degrees,Sagittal Error in degrees,Depth Error in meters,,Mean Euclidean Error in meters,Mean Azimuthal Error in degrees,Mean Sagittal Error in degrees,Mean Depth Error in meters,Number of samples
45,0.35,10,11,0.16,,0.8172222222,26.33333333,19.05555556,0.3622222222,18
46,0.63,3,24,0.31,,,,,,
47,0.65,35,4,0.43,,,,,,
48,0.79,18,21,0.26,,,,,,
50,0.88,15,31,0.01,,,,,,
52,0.9,11,32,0.04,,,,,,
53,0.64,1,19,0.54,,,,,,
54,0.33,10,11,0.08,,,,,,
71,1.66,42,47,0.2,,,,,,
73,0.42,10,6,0.39,,,,,,
75,1.3,36,13,1.1,,,,,,
77,1.05,17,17,0.84,,,,,,
79,1.68,68,18,0.92,,,,,,
140,0.52,11,19,0.14,,,,,,
141,0.94,64,31,0.29,,,,,,
144,0.92,40,8,0.53,,,,,,
145,0.59,23,17,0.23,,,,,,
148,0.46,60,14,0.05,,,,,,
